Continent,Country,Segment,Types,CAGR,Attribute,Value
North America,United States,Product,Spring Water,0.07,2017,1890.543784
North America,United States,Product,Spring Water,0.07,2018,2005.587049
North America,United States,Product,Spring Water,0.07,2019,2132.083237
North America,United States,Product,Spring Water,0.07,2020,1538.858924
North America,United States,Product,Spring Water,0.07,2021,1632.054022
North America,United States,Product,Spring Water,0.07,2022,1735.753075
North America,United States,Product,Spring Water,0.07,2023,1849.469972
North America,United States,Product,Spring Water,0.07,2024,1974.29065
North America,United States,Product,Spring Water,0.07,2025,2111.435867
North America,United States,Product,Spring Water,0.07,2026,2262.279429
North America,United States,Product,Spring Water,0.07,2027,2428.369065
North America,United States,Product,Spring Water,0.07,2028,2611.450411
North America,United States,Product,Spring Water,0.07,2029,2813.494551
North America,United States,Product,Spring Water,0.07,2030,3036.729708
North America,United States,Product,Sparkling Water,0.08,2017,1191.143146
North America,United States,Product,Sparkling Water,0.08,2018,1273.810745
North America,United States,Product,Sparkling Water,0.08,2019,1365.032092
North America,United States,Product,Sparkling Water,0.08,2020,993.1209198
North America,United States,Product,Sparkling Water,0.08,2021,1061.675829
North America,United States,Product,Sparkling Water,0.08,2022,1138.122575
North America,United States,Product,Sparkling Water,0.08,2023,1222.311352
North America,United States,Product,Sparkling Water,0.08,2024,1315.131075
North America,United States,Product,Sparkling Water,0.08,2025,1417.585657
North America,United States,Product,Sparkling Water,0.08,2026,1530.810207
North America,United States,Product,Sparkling Water,0.08,2027,1656.089678
North America,United States,Product,Sparkling Water,0.08,2028,1794.88038
North America,United States,Product,Sparkling Water,0.08,2029,1948.834808
North America,United States,Product,Sparkling Water,0.08,2030,2119.830347
North America,United States,Product,Mineral Water,0.07,2017,2596.387963
North America,United States,Product,Mineral Water,0.07,2018,2758.122013
North America,United States,Product,Mineral Water,0.07,2019,2936.076118
North America,United States,Product,Mineral Water,0.07,2020,2122.048267
North America,United States,Product,Mineral Water,0.07,2021,2253.649568
North America,United States,Product,Mineral Water,0.07,2022,2400.144156
North America,United States,Product,Mineral Water,0.07,2023,2560.921872
North America,United States,Product,Mineral Water,0.07,2024,2737.549247
